Company Name,Address,Telephone Number,Other Data,Commodity,Business Field
"Okishin Flores, PT","Waibalun ,kec Larantuka, Flores Timur, Nusa Tenggara Timur",038322221,,"Tunas,skipjack,bonito,whole/ In Pieces, Not In Min,Oth Fish,whole/in Pieces, Not In Minced,  Not In","Tunas,skipjack,bonito,whole/ in pieces, not in min,Oth Fish,whole/in Pieces, Not In Minced,  Not In"
"Pelita, Tk.","Jl. M.yamin Rt 09 / 05 Rinbesi Atambua, Belu, Nusa Tenggara Timur",,,"Mattress Supports,Reservoirs,tanks,vats & Similar Contain.,Mattress Springs Of Other Materials","Mattress supports,Reservoirs,tanks,vats & Similar Contain.,Mattress Springs Of Other Materials"
"Prima Investa Nusa Tenggara, CV","Kel. Rinbesi Rt 01/01 Atambua-belu-ntt, Belu, Nusa Tenggara Timur",,,"Other Hydraulic Cements,Carbon,oth Than Of Circular Cross- Section:,Other Household Articles&hygienic/toilet","Other hydraulic cements,Carbon,oth Than Of Circular Cross- Section:,Other Household Articles&hygienic/toilet"
Prima Investa Nusatenggara,"Jl. Pahlawan No. 102 Rt. 001 Rw. 001, Kupang, Nusa Tenggara Timur",0380833293,,"Yellowfin Tunas,excl.fillets, Livers & Roes, Fresh,Kerapu, Excl.fillets, Livers And Roes, Fresh Or,Frozen Fillets Of Tunas, Skipjack Or","Yellowfin tunas,excl.fillets, livers & roes, fresh,Kerapu, Excl.fillets, Livers And Roes, Fresh Or,Frozen Fillets Of Tunas, Skipjack Or"
"Primo Indo Ikan, PT","Ds. Halakodanuan / Waimana Ii Kec. Ile Mandiri, Flores Timur, Nusa Tenggara Timur",,,"Frozen Fillets Of Tunas, Skipjack Or Stripe-bellie,Yellowfin Tunas, Excl.fillet, Liver & Roes, Frozen,Oth Salmonidae Fish, Excluding Fillet, Liver And","Frozen fillets of tunas, skipjack or stripe-bellie,Yellowfin Tunas, Excl.fillet, Liver & Roes, Frozen,Oth Salmonidae Fish, Excluding Fillet, Liver And"
Pusat Koperasi Unit Desa Ntt,"Jl. Arif Rahman Hakim No 1 Kelapa Lima Kupang, Kupang, Nusa Tenggara Timur",,,"Cocoa Beans,whole/broken,raw/roasted","Cocoa beans,whole/broken,raw/roasted"
"Putri Berlian, Ud.","Rt 20/08 Maulafa, Kupang, Nusa Tenggara Timur",,,"Garlic,oth Than Bulbs For Propagation, Fresh/chill,Oth Parts Of Footwear Of Oth Materials Not For,Oth Mixed Condiments And Mixed Seasonings,","Garlic,oth than bulbs for propagation, fresh/chill,Oth Parts Of Footwear Of Oth Materials Not For,Oth Mixed Condiments And Mixed Seasonings,"
"Putri Berlian, Ud.","Rt 20 / 08 Maulafa Kupang - Ntt, Kupang, Nusa Tenggara Timur",,,"Soya Beans, Oth Than Seed, Whether Or Not Broken,Oth Sauces And Preparations Therefor; Mustard,Seed Of Ground-nuts, Whether/not  Shelled/broken","Soya beans, oth than seed, whether or not broken,Oth Sauces And Preparations Therefor; Mustard,Seed Of Ground-nuts, Whether/not  Shelled/broken"
"Putri Mandiri Meubel, Ud.","Rt 02/01 Kel. Oesapa, Kupang, Nusa Tenggara Timur",,,"Parts Of Seats Of Other Than Plastics,Mattress Supports,Parts Of Seats Of Plastics","Parts of seats of other than plastics,Mattress Supports,Parts Of Seats Of Plastics"
"Rahmat, Ks.","Jl. Sisinga Mangaraja Pasar Baru, Kefamenanu,ttu., Timor Tengah Utara, Nusa Tenggara Timur",,,"Other Hydraulic Cements,Artificial Guts (sausage Casings) Of Cellulosic,Zinc Foil A Tickness < 0.25 Mm","Other hydraulic cements,Artificial Guts (sausage Casings) Of Cellulosic,Zinc Foil A Tickness < 0.25 Mm"
"Refan Mebel, Tk.","Jl. Soekarno Hatta No. 12 Atambua, Belu, Nusa Tenggara Timur",,,"Refri-frez,fitt With Separate External Door;househ,Oth Matching Transfmrs High S-volt? 66kv 16 Kva <,Household/laundry-type Wash Machines; Fully-","Refri-frez,fitt with separate external door;househ,Oth Matching Transfmrs High S-volt? 66kv 16 Kva <,Household/laundry-type Wash Machines; Fully-"
"Ria, Tk.","Jl. Pramuka Rt 005/ Rw 002 Beirafu, Belu, Nusa Tenggara Timur",,,"Other Hydraulic Cements,Mineral Waters,Uncooked Pasta, Not Stuffed/otherwise Prepared,","Other hydraulic cements,Mineral Waters,Uncooked Pasta, Not Stuffed/otherwise Prepared,"
"Rizky Makmur, Ud.","Jl. Adi Sucipto Rt 002/rw 001kel. Manumutin-atambua, Belu, Nusa Tenggara Timur",,,"Other Hydraulic Cements,Mattress Supports,Refri-frez,fitt With Separate External","Other hydraulic cements,Mattress Supports,Refri-frez,fitt With Separate External"
"S-cell, Tk.","Jl. Adam Malik - Berdao, Belu, Nusa Tenggara Timur",,,"Other Hydraulic Cements,Mineral Waters","Other hydraulic cements,Mineral Waters"
