Company Name,Deskripsi,Address,Telephone Number,Location
7089. TK Bina Karya Pancasila,,Jl Bojong Nangka II 38 Jakarta,( 021 ) 8463229,Tk dan kelompok bermain
7090. TK Bina Indria,,Jl Gembira Terusan 181 Jakarta,( 021 ) 4352612,Tk dan kelompok bermain
7091. TK Bina Harapan III,,Jl Achmad Family 12 Jakarta,( 021 ) 7533779,Tk dan kelompok bermain
7092. TK Bina Harapan,,Jl BDN II Gg Bina Harapan 33 Jakarta,( 021 ) 7664625,Tk dan kelompok bermain
7093. TK Bina Daya Bangsa,,Jl Krukut Raya 8 RT 002/04 Jakarta,( 021 ) 7538310,Tk dan kelompok bermain
7094. TK Bina Cempaka,,JL Kayu Tinggi RT 013/09 Jakarta,( 021 ) 4611507,Tk dan kelompok bermain
7095. TK Bina Bangsa,,Jl Budhi 87 RT 002/04 Jakarta,( 021 ) 5347367,Tk dan kelompok bermain
7096. TK Bhineka Tunggal Ika,,Jl KH Moh Mansyur 222-A Jakarta,( 021 ) 6310070,Tk dan kelompok bermain
7097. TK Bhayangkari 29,,Jl Cikoko Brt I 26 Kompl Polri Bl O/26 RT 004/07 Jakarta,( 021 ) 7902190,Tk dan kelompok bermain
7098. TK Bhakti Utama,,Jl Krendang Slt 18-A RT 002/06 Jakarta,( 021 ) 6308514,Tk dan kelompok bermain
7099. TK Bhakti Siwi,,Jl Instalkes Kompl Depkes Sunter Jaya Bl C-3/10 Jakarta,( 021 ) 65305867,Tk dan kelompok bermain
7100. TK Bhakti Ibu,,Jl SMA XIV Brt 22 Jakarta,( 021 ) 8094251,Tk dan kelompok bermain
7101. TK Bhakti,,Jl Sakti 4 Jakarta,( 021 ) 5492504,Tk dan kelompok bermain
7102. TK Bethany,,Jl Rawasari Slt 10-X Jakarta,( 021 ) 4208702,Tk dan kelompok bermain
7103. Tk Bethanie,,Jl Pintu Air II 4-6 Jakarta,( 021 ) 3804739,Tk dan kelompok bermain
7104. TK Betania,,Jl Jelambar Utama IV 3 Jakarta,( 021 ) 5664313,Tk dan kelompok bermain
7105. TK Bersinar Bagi Bangsa,,Jl Puskesmas 29 RT 06/03 Jakarta,( 021 ) 8444194,Tk dan kelompok bermain
7106. TK Bernadette,,Jl Kelapa Puan Tmr I Bl NB-1/1 Jakarta,( 021 ) 4500330,Tk dan kelompok bermain
7107. TK Berlian,,Jl Angkasa 21 Jakarta,( 021 ) 8441312,Tk dan kelompok bermain
7108. TK Bentara Indonesia IV,,Jl Sunter Mas Bl H-9/8 Jakarta,( 021 ) 6509603,Tk dan kelompok bermain
7109. TK Bentara Indonesia 2,,Jl E Cipinang Tmr I 14 Jakarta,( 021 ) 4753870,Tk dan kelompok bermain
7110. TK Bentara Indonesia 1,,Jl Mulya Jaya 6 RT 002/08 Jakarta,( 021 ) 8579051,Tk dan kelompok bermain
7111. TK Bengawan,,Jl Bendungan Melayu 8 RT 004/01 Jakarta,( 021 ) 4351054,Tk dan kelompok bermain
7112. TK Bellarminus,,Jl Kemang Sari 97 Jakarta,( 021 ) 8475058,Tk dan kelompok bermain
7113. TK Batu Karang,,Jl Ciracas Raya 10 Jakarta,( 021 ) 8715115,Tk dan kelompok bermain
7114. TK Batanghari,,Jl Raya Batanghari 23-A Jakarta,( 021 ) 3455348,Tk dan kelompok bermain
7115. TK Barunawati V,,Jl Ganggeng II 1 Jakarta,( 021 ) 4307131,Tk dan kelompok bermain
7116. TK Barunawati II,,Jl Aipda KS Tubun III 7 Jakarta,( 021 ) 5329959,Tk dan kelompok bermain
7117. TK Baptis Elim,,Jl Susilo I 388 Jakarta,( 021 ) 5683022,Tk dan kelompok bermain
7118. TK Baptis,,Jl Bungur Besar XVII 13 Jakarta,( 021 ) 4243194,Tk dan kelompok bermain
7119. TK Bangun,,Jl Lanji 2 RT 004/06 Jakarta,( 021 ) 65307204,Tk dan kelompok bermain
7120. TK Bala Keselamatan,,Jl Mangga Besar 39 Jakarta,( 021 ) 6495265,Tk dan kelompok bermain
7121. TK Bakti Utama,,Jl Damai 58 RT 002/08 Jakarta,( 021 ) 4804983,Tk dan kelompok bermain
7122. TK Bakti Pertiwi,,Jl Kelapa Raya Kompl Lembah Cinere Indah Bl E/12 Jakarta,( 021 ) 7543435,Tk dan kelompok bermain
7123. TK Bakti Mulya 400,,Jl Gedong Pinang 2 Jakarta,( 021 ) 7653628,Tk dan kelompok bermain
7124. TK Bakti Ibu,,Jl Suryo Bl S/35 Jakarta,( 021 ) 7203665,Tk dan kelompok bermain
7125. TK Baitussalam,,Kompl Billy & Moon Jakarta,( 021 ) 8649803,Tk dan kelompok bermain
7126. TK Baitus Salam,,Jl Palapa Masjid Kompl Pertanian Jakarta,( 021 ) 7803218,Tk dan kelompok bermain
7127. TK Baiturrohim,,Jl Mokmer I 12-E Jakarta,( 021 ) 6405537,Tk dan kelompok bermain
7128. TK Baiturrahman,,Jl Duren Tiga Slt VII Jakarta,( 021 ) 79196062,Tk dan kelompok bermain
7129. TK Baiturrahim,,Jl Kecubung V 6 Jakarta,( 021 ) 8629570,Tk dan kelompok bermain
